meal             ,foodCalories ,protein ,class          ,measure                   ,measureGrams ,roundFactor
Muesli           ,360          ,5       ,carbsBreakfast ,Muesli cup           ,140          ,10
Oats             ,360          ,5       ,carbsBreakfast ,Oat cup              ,140          ,10
Toasted Bread    ,250          ,4       ,carbsBreakfast ,Toasted Bread slice  ,47           ,20
Weet Bix         ,360          ,0       ,carbsBreakfast ,Weet-bix biscuit         ,15           ,1
Quinoa (Cooked)  ,150          ,5       ,carbsLunch     ,Cooked quinoa cup    ,160          ,10
Rice             ,360          ,4       ,carbsLunch     ,cooked Rice cup      ,100          ,20
Brown Rice       ,360          ,4       ,carbsLunch     ,cooked Brown Rice cup ,100          ,20
Potatoes         ,85           ,0       ,carbsLunch     ,small Potatoes            ,110          ,2
Sweet potatoes   ,85           ,0       ,carbsLunch     ,small Sweet Potatoes      ,110          ,2
Peanut Butter    ,600          ,15      ,fats           ,Peanut Butter spoon  ,13           ,1
Avocado          ,160          ,0       ,fats           ,Avocado                  ,200          ,10
Tofu             ,70           ,5       ,fats           ,Tofu small serving       ,125          ,1
Almonds          ,600          ,15      ,fats           ,Almond spoon         ,13           ,1
Cashews          ,600          ,15      ,fats           ,Cashew spoon        ,13           ,1
Chicken breast   ,110          ,20      ,protein        ,Chicken Breast gram   ,1            ,10
Steak            ,235          ,20      ,protein        ,Steak gram            ,1            ,10
Tuna             ,130          ,27      ,protein        ,Tuna gram                ,1            ,10
Fish             ,140          ,20      ,protein        ,Fish gram             ,1            ,10
Eggs             ,140          ,14      ,protein        ,Egg                      ,50           ,1
Cheese           ,360          ,25      ,protein        ,Cheese slice         ,28           ,1
Goat cheese      ,360          ,25      ,protein        ,Goat Cheese slice    ,28           ,1
Greek Yoghurt    ,100          ,8       ,protein        ,Greek Yogurt cup     ,250          ,1
Lettuce          ,15           ,0       ,veggies        ,Lettuce head             ,250          ,2
Broccoli         ,34           ,0       ,veggies        ,Broccoli serving      ,150          ,1
Cauliflower      ,25           ,0       ,veggies        ,Cauliflower cup       ,100          ,1
Mushroom         ,22           ,0       ,veggies        ,Mushrooms cup         ,95           ,1
Brussels Sprouts ,43           ,0       ,veggies        ,Brussels Sprouts cup  ,90           ,1
Carrots          ,40           ,0       ,veggies        ,medium sized Carrot      ,62           ,1
Apples           ,52           ,0       ,snack          ,small Apple              ,130          ,1
Oranges          ,60           ,0       ,snack          ,small Orange             ,150          ,1
Strawberries     ,30           ,0       ,snackGrams     ,Strawberries gram    ,1            ,10
Blueberries      ,60           ,0       ,snackGrams     ,Blueberries gram      ,1            ,10
Honey            ,320          ,0       ,Others         ,Honey spoon           ,10           ,1
Coffee           ,25           ,0       ,others         ,Coffee cup            ,10           ,2
